# White dwarf EOS from Helmholtz code
# Composition: abar =   13.7, zbar =    6.9
# Temperature =  1.000E+07 K
# density[g/cm^3]  pressure[dyn/cm^2]  internal energy density [erg/cm^3]
# Note internal energy density = rho e_int excludes rest mass energy contribution
   9.615746E+02   5.868259E+17   8.822348E+17
   9.839952E+02   6.034738E+17   9.072725E+17
   1.006939E+03   6.206456E+17   9.330977E+17
   1.030417E+03   6.383589E+17   9.597381E+17
   1.054443E+03   6.566327E+17   9.872220E+17
   1.079029E+03   6.754876E+17   1.015579E+18
   1.104188E+03   6.949444E+17   1.044840E+18
   1.129934E+03   7.150240E+17   1.075038E+18
   1.156280E+03   7.357478E+17   1.106204E+18
   1.183241E+03   7.571376E+17   1.138373E+18
   1.210830E+03   7.792165E+17   1.171582E+18
   1.239062E+03   8.020093E+17   1.205867E+18
   1.267953E+03   8.255434E+17   1.241267E+18
   1.297517E+03   8.498446E+17   1.277822E+18
   1.327771E+03   8.749404E+17   1.315573E+18
   1.358730E+03   9.008606E+17   1.354564E+18
   1.390411E+03   9.276355E+17   1.394839E+18
   1.422830E+03   9.552955E+17   1.436444E+18
   1.456006E+03   9.838718E+17   1.479429E+18
   1.489955E+03   1.013397E+18   1.523843E+18
   1.524695E+03   1.043903E+18   1.569738E+18
   1.560246E+03   1.075429E+18   1.617168E+18
   1.596626E+03   1.108012E+18   1.666191E+18
   1.633853E+03   1.141691E+18   1.716863E+18
   1.671949E+03   1.176506E+18   1.769246E+18
   1.710933E+03   1.212500E+18   1.823403E+18
   1.750826E+03   1.249718E+18   1.879399E+18
   1.791651E+03   1.288204E+18   1.937304E+18
   1.833426E+03   1.328004E+18   1.997186E+18
   1.876175E+03   1.369164E+18   2.059118E+18
   1.919921E+03   1.411734E+18   2.123179E+18
   1.964687E+03   1.455768E+18   2.189446E+18
   2.010497E+03   1.501323E+18   2.258002E+18
   2.057375E+03   1.548454E+18   2.328933E+18
   2.105346E+03   1.597220E+18   2.402328E+18
   2.154435E+03   1.647685E+18   2.478278E+18
   2.204669E+03   1.699912E+18   2.556880E+18
   2.256075E+03   1.753967E+18   2.638234E+18
   2.308678E+03   1.809918E+18   2.722443E+18
